"Story","Title","Result","Date","Stability","Duration (s)"
"Como aspirante al puesto de tester quiero entrar a la wensite de Choucair para encontrar la mayor cantidad de errores posibles","Ingresar al sitio web de Choucair y presionar clic en la seccion de Servicios","SUCCESS","2021-07-17T12:18:50.133-05:00[America/Bogota]","0.0","39.84"
"Como aspirante al puesto de tester quiero entrar a la wensite de Choucair para encontrar la mayor cantidad de errores posibles","Ingresar a la pagina de Choucair y dirigirme a el formulario de Industrias","SUCCESS","2021-07-17T12:19:30.726-05:00[America/Bogota]","0.0","40.37"
